Date	Remaining	Release	Yesterday-Remaining	Confirmed Cases	New today	Net Increase
2022/11/18	100.7	10	96	2.4	17.1	2.8
2022/11/19	104	12.2	100.7	2.4	17.9	3.3
2022/11/20	110	11.5	104	2.2	19.7	6
2022/11/21	116	13	110	2.4	21.4	6
2022/11/22	124	15	116	2.6	25.6	8
2022/11/23	131	17	124	2.8	26.8	7
2022/11/24	141	14	131	3.1	27.1	10
2022/11/25	152	14.4	141	3.2	28.6	11
2022/11/26	164.7	17.3	152	3.5	33.5	12.7
2022/11/27	176	17.8	164.7	3.9	33	11.3
2022/11/28	185	20.79	176	4	33.79	9
2022/11/29	194	22.5	185	3.8	35.3	9
2022/11/30	201	23	194	3.8	33.8	7
2022/12/1	207	23.7	201	3.5	33.2	6
2022/12/2	207.6	25	207	3.4	29	0.6
2022/12/3	206	28	207.6	3.2	29.6	-1.6
2022/12/4	202	28	206	3.1	27.1	-4
